上海频道,#genre#
新闻综合,http://222.65.134.204:10000/rtp/239.45.3.209:5140$1920x1080
东方卫视,http://58.37.82.140:56789/rtp/239.45.3.146:5140$1920x1080
都市频道,http://222.65.134.204:10000/rtp/239.45.3.236:5140$1920x1080
东方影视,http://222.65.134.204:10000/rtp/239.45.3.237:5140$1920x1080
五星体育,http://61.170.254.112:1024/rtp/239.45.3.210:5140$1920x1080
生活时尚,http://222.65.134.204:10000/rtp/239.45.3.132:5140$1920x1080
教育台,http://58.37.189.47:8088/rtp/239.45.3.252:5140$720x576
都市剧场,http://58.37.82.140:56789/rtp/239.45.3.136:5140$1920x1080
欢笑剧场,http://58.37.82.140:56789/rtp/239.45.1.4:5140$3840x2160
全纪实,http://58.37.82.140:56789/rtp/239.45.3.135:5140$1920x1080
法治天地,http://58.37.82.140:56789/rtp/239.45.1.46:5140$1920x1080
纪实人文,http://58.37.82.140:56789/rtp/239.45.3.212:5140$1920x1080

广东频道,#genre#
广东珠江,http://gs.jianghua.fun:8888/rtp/239.20.0.64:3144
广东体育,http://gs.jianghua.fun:8888/rtp/239.20.0.103:2004
广东影视,http://gs.jianghua.fun:8888/rtp/239.21.0.85:3680
广东少儿,http://gs.jianghua.fun:8888/rtp/239.21.0.87:3688
广东新闻,rhttp://gs.jianghua.fun:8888/rtp/239.21.0.93:3712
广东卫视,http://gs.jianghua.fun:8888/rtp/239.20.0.101:2000
广东经济科教,http://gs.jianghua.fun:8888/rtp/239.20.0.102:2002

河南频道,#genre#
河南移动戏曲,http://1.196.154.231:2001/rtp/239.16.10.76:2000
河南睛彩中原,http://1.196.154.231:2001/rtp/239.16.10.78:2000
河南移动电视,http://1.196.154.231:2001/rtp/239.16.10.79:2000
河南都市频道,http://1.196.154.231:2001/rtp/239.16.10.120:2000
河南民生频道,http://1.196.154.231:2001/rtp/239.16.10.121:2000
河南法治频道,http://1.196.154.231:2001/rtp/239.16.10.122:2000
河南电视剧频道,http://1.196.154.231:2001/rtp/239.16.10.123:2000
河南新闻频道,http://1.196.154.231:2001/rtp/239.16.10.124:2000
河南欢腾购物,http://1.196.154.231:2001/rtp/239.16.10.125:2000
河南公共频道,http://1.196.154.231:2001/rtp/239.16.10.126:2000
河南乡村频道,http://1.196.154.231:2001/rtp/239.16.10.181:2000
河南国际频道,http://1.196.154.231:2001/rtp/239.16.10.182:2000
河南4K实验,http://1.196.154.231:2001/rtp/239.16.10.210:2000
河南欢腾购物,http://1.196.154.231:2001/rtp/239.16.10.216:2000
河南IPTV导视,http://1.196.154.231:2001/rtp/239.16.10.218:2000
百姓调解,http://1.196.154.231:2001/rtp/239.16.10.183:2000
纪实人文,http://1.196.154.231:2001/rtp/239.16.10.190:2000
大象新闻,http://1.196.154.231:2001/rtp/239.16.10.192:2000
国学频道,http://1.196.154.231:2001/rtp/239.16.10.217:2000
健康中原,http://1.196.154.231:2001/rtp/239.16.10.131:2000
